Date,State,CONTRIBUTOR ID,LGA,Outlet Type,Latitude,Longitude,Country,Sector,Food Item,UOM,Quantity,Price Category,Price,Weight,UPRICE
2025-01-08,JIGAWA,2,HADEJIA,Open air or covered market,12.4510256,10.0365205,Nigeria,Urban,Sorghum,1.5,1.0,Retail,1300.0,1.5,866.67
2025-01-05,JIGAWA,5,GWIWA,Neighborhood shops kiosk,12.759731,8.2079309,Nigeria,Rural,Sorghum,1.5,1.0,Retail,1500.0,1.5,1000.0
2025-01-05,JIGAWA,5,GWIWA,Neighborhood shops kiosk,12.7583435,8.2065915,Nigeria,Rural,Sorghum,1.5,1.0,Retail,1500.0,1.5,1000.0
2025-01-05,JIGAWA,5,GWIWA,Local village market,12.7573484,8.2068357,Nigeria,Rural,Sorghum,100.0,1.0,Retail,54500.0,100.0,545.0
2025-01-08,JIGAWA,6,RONI,RoadSide shops street vendors,12.6590241,8.2629824,Nigeria,Urban,Sorghum,1.5,1.0,Retail,1450.0,1.5,966.67
2025-01-08,JIGAWA,6,RONI,RoadSide shops street vendors,12.6600438,8.2632461,Nigeria,Urban,Sorghum,1.5,1.0,Retail,1400.0,1.5,933.33
2025-01-08,JIGAWA,6,RONI,RoadSide shops street vendors,12.655997,8.2652923,Nigeria,Urban,Sorghum,1.5,1.0,Retail,1400.0,1.5,933.33
2025-01-08,KADUNA,23,ZARIA,Open air or covered market,11.0991869,7.7011112,Nigeria,Urban,Sorghum,1.5,1.0,Retail,1800.0,1.5,1200.0
2025-01-08,ADAMAWA,17,MAYO-BELWA,RoadSide shops street vendors,9.0570713,12.0647049,Nigeria,Rural,Sorghum,1.5,1.0,Retail,1800.0,1.5,1200.0
2025-01-08,EDO,7,OVIA NORTH EAST,Open air or covered market,6.4553304,5.5937215,Nigeria,Urban,Sorghum,1.5,1.0,Retail,1750.0,1.5,1166.67
2025-01-08,EDO,7,OVIA NORTH EAST,Open air or covered market,6.4558835,5.5946558,Nigeria,Urban,Sorghum,1.5,1.0,Retail,1700.0,1.5,1133.33
2025-01-08,EDO,7,OVIA NORTH EAST,Open air or covered market,6.4557964,5.5948714,Nigeria,Urban,Sorghum,1.5,1.0,Retail,1700.0,1.5,1133.33
2025-01-05,YOBE,7,BADE,Open air or covered market,12.8875688,11.0363897,Nigeria,Urban,Sorghum,1.5,1.0,Retail,1500.0,1.5,1000.0
2025-01-07,YOBE,7,BADE,RoadSide shops street vendors,12.870582,11.0235606,Nigeria,Urban,Sorghum,1.5,1.0,Retail,1500.0,1.5,1000.0
2025-01-07,YOBE,7,BADE,RoadSide shops street vendors,12.8654597,11.0378428,Nigeria,Urban,Sorghum,1.5,1.0,Retail,1600.0,1.5,1066.67
2025-01-08,OGUN,18,ABEOKUTA SOUTH,Open air or covered market,7.1405034,3.3373656,Nigeria,Urban,Sorghum,1.6,1.0,Retail,1800.0,1.6,1125.0
2025-01-08,OGUN,18,ABEOKUTA SOUTH,Open air or covered market,7.1402285,3.3371737,Nigeria,Urban,Sorghum,1.6,1.0,Retail,1800.0,1.6,1125.0
2025-01-08,OGUN,18,ABEOKUTA SOUTH,Open air or covered market,7.1398317,3.3367216,Nigeria,Urban,Sorghum,1.6,1.0,Retail,1700.0,1.6,1062.5
2025-01-08,LAGOS,8,KOSOFE,RoadSide shops street vendors,6.606184,3.3817755,Nigeria,Urban,Sorghum,0.22,1.0,Retail,1000.0,0.22,4545.45
2025-01-08,LAGOS,8,KOSOFE,RoadSide shops street vendors,6.6061817,3.3817543,Nigeria,Urban,Sorghum,0.22,1.0,Retail,1000.0,0.22,4545.45
